0,0000 0,00 0,00 0,00 0,00 0,00 0,00
6930,0000 193,43 14,83 0,00 -41,76 -629,38 443,82
6930,0000 193,43 14,83 0,00 -41,99 -629,20 443,65
6930,0000 193,43 14,83 0,00 -42,23 -629,02 443,48
6946,0000 193,56 14,98 0,00 -42,48 -628,83 443,30
6946,0000 193,56 14,98 0,00 -42,72 -628,65 443,12
6958,0000 193,75 15,37 0,00 -42,98 -628,46 442,94
6960,0000 193,75 15,37 0,00 -43,23 -628,26 442,76
6961,0000 193,75 15,37 0,00 -43,48 -628,07 442,57
6972,0000 193,75 15,37 0,00 -43,74 -627,88 442,39
6978,0000 193,49 14,81 0,00 -43,99 -627,68 442,20
6990,0000 193,49 14,81 0,00 -44,25 -627,49 442,02
6991,0000 193,49 14,81 0,00 -44,50 -627,29 441,83
6991,0000 193,49 14,81 0,00 -44,76 -627,10 441,65
7006,0000 193,66 15,31 0,00 -45,01 -626,91 441,47
7006,0000 193,66 15,31 0,00 -45,26 -626,72 441,29
7023,0000 193,67 15,25 0,00 -45,50 -626,53 441,11
7023,0000 193,67 15,25 0,00 -45,74 -626,34 440,93
7023,0000 193,67 15,25 0,00 -45,98 -626,16 440,76
7032,0000 193,56 14,98 0,00 -46,22 -625,98 440,59
7033,0000 193,56 14,98 0,00 -46,45 -625,80 440,42
7062,0000 193,65 15,21 0,00 -46,68 -625,62 440,25
7062,0000 193,65 15,21 0,00 -46,91 -625,44 440,09
7062,0000 193,65 15,21 0,00 -47,13 -625,27 439,93
7070,0000 193,65 15,22 0,00 -47,34 -625,10 439,77
7071,0000 193,65 15,22 0,00 -47,55 -624,94 439,62
7081,0000 193,65 15,22 0,00 -47,76 -624,78 439,47
7081,0000 193,65 15,22 0,00 -47,97 -624,62 439,32
7082,0000 193,65 15,22 0,00 -48,17 -624,46 439,18
7105,0000 193,63 15,03 0,00 -48,36 -624,31 439,04
7105,0000 193,50 14,81 0,00 -48,55 -624,17 438,90
7126,0000 193,56 14,97 0,00 -48,73 -624,02 438,76
7126,0000 193,56 14,97 0,00 -48,92 -623,88 438,63
7126,0000 193,56 14,97 0,00 -49,09 -623,74 438,50
7138,0000 193,56 14,97 0,00 -49,26 -623,61 438,38
7142,0000 193,56 14,97 0,00 -49,43 -623,48 438,26
7160,0000 193,47 14,90 0,00 -49,59 -623,35 438,14
7160,0000 193,47 14,90 0,00 -49,75 -623,23 438,03
7160,0000 193,47 14,90 0,00 -49,91 -623,11 437,91
7186,0000 193,33 15,31 0,00 -50,06 -622,99 437,81
7187,0000 193,33 15,31 0,00 -50,20 -622,88 437,70
7203,0000 193,57 15,07 0,00 -50,34 -622,77 437,60
7204,0000 193,57 15,07 0,00 -50,48 -622,66 437,50
7205,0000 193,57 15,07 0,00 -50,61 -622,56 437,40
7217,0000 193,07 14,80 0,00 -50,74 -622,46 437,31
7217,0000 193,07 14,80 0,00 -50,87 -622,36 437,22
7230,0000 193,07 14,80 0,00 -50,99 -622,27 437,13
7230,0000 193,07 14,80 0,00 -51,11 -622,18 437,05
7230,0000 193,07 14,80 0,00 -51,22 -622,09 436,97
7243,0000 192,82 14,86 0,00 -51,33 -622,01 436,89
7243,0000 192,82 14,86 0,00 -51,43 -621,93 436,81
7254,0000 192,61 14,49 0,00 -51,54 -621,85 436,74
7254,0000 192,61 14,49 0,00 -51,64 -621,77 436,67
7256,0000 192,61 14,49 0,00 -51,73 -621,70 436,60
7267,0000 192,61 14,49 0,00 -51,82 -621,63 436,53
7267,0000 192,61 14,49 0,00 -51,91 -621,56 436,47
7291,0000 193,50 15,00 0,00 -52,00 -621,50 436,41
7291,0000 193,50 15,00 0,00 -52,08 -621,43 436,35
7291,0000 193,50 15,00 0,00 -52,16 -621,38 436,29
7351,0000 192,61 15,20 0,00 -52,23 -621,32 436,24
7351,0000 192,61 15,20 0,00 -52,31 -621,27 436,19
7367,0000 191,02 14,47 0,00 -52,38 -621,21 436,14
7367,0000 191,02 14,47 0,00 -52,44 -621,17 436,09
7367,0000 191,02 14,47 0,00 -52,51 -621,12 436,05
7381,0000 191,02 14,47 0,00 -52,57 -621,08 436,00
7381,0000 191,02 14,47 0,00 -52,62 -621,04 435,96
7397,0000 189,41 13,89 0,00 -52,68 -621,01 435,93
7397,0000 189,41 13,89 0,00 -52,73 -620,97 435,89
7397,0000 189,41 13,89 0,00 -52,78 -620,94 435,86
7419,0000 187,42 13,98 0,00 -52,83 -620,91 435,83
7420,0000 187,42 13,98 0,00 -52,87 -620,88 435,80
7439,0000 185,40 14,05 0,00 -52,91 -620,86 435,77
7441,0000 182,74 14,09 0,00 -52,95 -620,83 435,74
7441,0000 182,74 14,09 0,00 -52,99 -620,81 435,72
7453,0000 182,74 14,09 0,00 -53,02 -620,79 435,69
7454,0000 182,74 14,09 0,00 -53,05 -620,77 435,67
7465,0000 179,99 14,20 0,00 -53,08 -620,76 435,65
7466,0000 179,99 14,20 0,00 -53,10 -620,74 435,64
7467,0000 179,99 14,20 0,00 -53,12 -620,73 435,62
7486,0000 176,61 14,37 0,00 -53,13 -620,73 435,61
7487,0000 176,61 14,37 0,00 -53,14 -620,73 435,61
7500,0000 172,56 14,54 0,00 -53,14 -620,73 435,61
7501,0000 172,56 14,54 0,00 -53,13 -620,74 435,61
7502,0000 172,56 14,54 0,00 -53,12 -620,76 435,62
7514,0000 168,53 14,52 0,00 -53,09 -620,78 435,64
7514,0000 168,53 14,52 0,00 -53,06 -620,81 435,67
7569,0000 159,41 14,05 0,00 -53,02 -620,84 435,70
7569,0000 159,41 14,05 0,00 -52,96 -620,89 435,74
7569,0000 159,41 14,05 0,00 -52,89 -620,94 435,79
7583,0000 154,99 13,63 0,00 -52,81 -621,00 435,84
7583,0000 154,99 13,63 0,00 -52,72 -621,06 435,91
7607,0000 145,81 12,95 0,00 -52,61 -621,14 435,98
7607,0000 145,81 12,95 0,00 -52,49 -621,22 436,07
7607,0000 145,81 12,95 0,00 -52,35 -621,31 436,16
7619,0000 145,81 12,95 0,00 -52,20 -621,41 436,26
7619,0000 145,81 12,95 0,00 -52,04 -621,51 436,38
7629,0000 141,65 12,31 0,00 -51,85 -621,63 436,50
7630,0000 141,65 12,31 0,00 -51,65 -621,76 436,64
7630,0000 141,65 12,31 0,00 -51,43 -621,89 436,79
7654,0000 137,53 11,82 0,00 -51,19 -622,04 436,95
7654,0000 137,53 11,82 0,00 -50,93 -622,20 437,12
7668,0000 133,52 11,64 0,00 -50,64 -622,37 437,31
7670,0000 133,52 11,64 0,00 -50,33 -622,56 437,52
7670,0000 133,52 11,64 0,00 -50,00 -622,76 437,74
7684,0000 130,86 11,09 0,00 -49,65 -622,98 437,98
7684,0000 130,86 11,09 0,00 -49,26 -623,21 438,24
7702,0000 128,68 9,23 0,00 -48,86 -623,46 438,52
7702,0000 128,68 9,23 0,00 -48,42 -623,73 438,81
7705,0000 128,68 9,23 0,00 -47,96 -624,01 439,12
7723,0000 127,24 8,90 0,00 -47,48 -624,32 439,46
7723,0000 127,24 8,90 0,00 -46,97 -624,63 439,81
7746,0000 125,84 9,63 0,00 -46,43 -624,97 440,17
7746,0000 125,84 9,63 0,00 -45,87 -625,32 440,56
7746,0000 125,84 9,63 0,00 -45,29 -625,68 440,95
7757,0000 125,56 9,98 0,00 -44,69 -626,06 441,37
7757,0000 125,56 9,98 0,00 -44,07 -626,45 441,79
7772,0000 125,56 9,98 0,00 -43,43 -626,86 442,23
7772,0000 125,56 9,98 0,00 -42,77 -627,28 442,69
7772,0000 125,56 9,98 0,00 -42,10 -627,71 443,15
7784,0000 125,65 10,47 0,00 -41,41 -628,15 443,63
7784,0000 125,65 10,47 0,00 -40,71 -628,61 444,11
7795,0000 125,46 10,21 0,00 -40,00 -629,07 444,61
7796,0000 125,46 10,21 0,00 -39,28 -629,55 445,11
7796,0000 125,46 10,21 0,00 -38,55 -630,03 445,62
7815,0000 125,54 10,09 0,00 -37,82 -630,52 446,13
7815,0000 125,54 10,09 0,00 -37,08 -631,02 446,65
7827,0000 125,54 10,09 0,00 -36,34 -631,52 447,17
7828,0000 125,54 10,09 0,00 -35,59 -632,02 447,70
7829,0000 125,54 10,09 0,00 -34,85 -632,52 448,22
7839,0000 125,55 10,03 0,00 -34,10 -633,03 448,74
7840,0000 125,55 10,03 0,00 -33,36 -633,53 449,26
7851,0000 125,52 9,72 0,00 -32,61 -634,03 449,78
7853,0000 125,52 9,72 0,00 -31,88 -634,53 450,30
7853,0000 125,52 9,72 0,00 -31,15 -635,02 450,81
7865,0000 125,52 9,72 0,00 -30,42 -635,51 451,32
7865,0000 125,52 9,72 0,00 -29,70 -636,00 451,82
7877,0000 125,53 9,61 0,00 -28,99 -636,48 452,32
7877,0000 125,53 9,61 0,00 -28,29 -636,95 452,81
7878,0000 125,53 9,61 0,00 -27,60 -637,42 453,29
7889,0000 125,47 9,91 0,00 -26,91 -637,88 453,77
7889,0000 125,47 9,91 0,00 -26,24 -638,33 454,24
7899,0000 125,47 9,91 0,00 -25,59 -638,78 454,70
7900,0000 125,47 9,91 0,00 -24,94 -639,22 455,15
7901,0000 125,47 9,91 0,00 -24,30 -639,65 455,59
7916,0000 125,48 9,45 0,00 -23,68 -640,08 456,03
7916,0000 125,48 9,45 0,00 -23,08 -640,50 456,45
7929,0000 125,40 9,71 0,00 -22,48 -640,91 456,87
7930,0000 125,40 9,71 0,00 -21,90 -641,31 457,28
7930,0000 125,40 9,71 0,00 -21,33 -641,71 457,68
7988,0000 125,55 9,73 0,00 -20,78 -642,09 458,06
7989,0000 125,55 9,73 0,00 -20,24 -642,47 458,44
8007,0000 125,35 9,67 0,00 -19,71 -642,84 458,81
8007,0000 125,35 9,67 0,00 -19,20 -643,20 459,17
8007,0000 125,35 9,67 0,00 -18,70 -643,56 459,52
8035,0000 125,47 9,66 0,00 -18,22 -643,91 459,87
8036,0000 125,47 9,66 0,00 -17,75 -644,24 460,20
8049,0000 125,47 9,66 0,00 -17,29 -644,57 460,52
8049,0000 125,47 9,66 0,00 -16,84 -644,89 460,83
8049,0000 125,47 9,66 0,00 -16,41 -645,21 461,14
8086,0000 125,43 9,91 0,00 -15,99 -645,51 461,44
8086,0000 125,43 9,91 0,00 -15,59 -645,81 461,72
8101,0000 125,41 9,88 0,00 -15,19 -646,10 462,00
8104,0000 125,41 9,88 0,00 -14,81 -646,38 462,27
8104,0000 125,41 9,88 0,00 -14,44 -646,66 462,53
8118,0000 125,31 9,82 0,00 -14,09 -646,92 462,79
8118,0000 125,31 9,82 0,00 -13,74 -647,18 463,03
8129,0000 125,37 9,56 0,00 -13,41 -647,44 463,27
8130,0000 125,37 9,56 0,00 -13,08 -647,68 463,50
8130,0000 125,37 9,56 0,00 -12,77 -647,92 463,72
8165,0000 124,34 9,14 0,00 -12,47 -648,15 463,94
8165,0000 124,34 9,14 0,00 -12,18 -648,37 464,15
8206,0000 121,95 8,16 0,00 -11,90 -648,59 464,35
8209,0000 121,95 8,16 0,00 -11,63 -648,80 464,54
8209,0000 121,95 8,16 0,00 -11,37 -649,00 464,73
8232,0000 120,52 8,22 0,00 -11,12 -649,20 464,91
8236,0000 120,52 8,22 0,00 -10,87 -649,39 465,08
8253,0000 119,23 8,27 0,00 -10,64 -649,58 465,25
8253,0000 119,23 8,27 0,00 -10,41 -649,76 465,41
8253,0000 119,23 8,27 0,00 -10,20 -649,93 465,57
8267,0000 117,50 8,28 0,00 -9,99 -650,10 465,72
8267,0000 117,50 8,28 0,00 -9,78 -650,26 465,86
8298,0000 114,12 8,67 0,00 -9,59 -650,42 466,01
8298,0000 114,12 8,67 0,00 -9,39 -650,58 466,14
8298,0000 114,12 8,67 0,00 -9,21 -650,73 466,28
8308,0000 114,12 8,67 0,00 -9,03 -650,89 466,41
8308,0000 114,12 8,67 0,00 -8,85 -651,04 466,54
8333,0000 107,87 8,50 0,00 -8,68 -651,19 466,67
8333,0000 107,87 8,50 0,00 -8,50 -651,34 466,79
8333,0000 107,87 8,50 0,00 -8,34 -651,49 466,92
8423,0000 92,04 11,09 0,00 -8,17 -651,64 467,05
8423,0000 92,04 11,09 0,00 -8,00 -651,80 467,17
8440,0000 89,32 11,01 0,00 -7,83 -651,95 467,30
8440,0000 89,32 11,01 0,00 -7,66 -652,10 467,43
8440,0000 89,32 11,01 0,00 -7,49 -652,26 467,55
8456,0000 86,95 10,17 0,00 -7,32 -652,42 467,68
8456,0000 86,95 10,17 0,00 -7,14 -652,57 467,81
8470,0000 85,37 9,41 0,00 -6,96 -652,73 467,95
8470,0000 85,37 9,41 0,00 -6,78 -652,89 468,08
8470,0000 85,37 9,41 0,00 -6,58 -653,06 468,23
8485,0000 84,20 9,12 0,00 -6,37 -653,22 468,37
8485,0000 84,20 9,12 0,00 -6,15 -653,40 468,53
8499,0000 83,48 8,34 0,00 -5,91 -653,58 468,69
8499,0000 83,48 8,34 0,00 -5,65 -653,77 468,87
8499,0000 83,48 8,34 0,00 -5,37 -653,96 469,06
8530,0000 83,42 8,56 0,00 -5,07 -654,17 469,27
8534,0000 83,42 8,56 0,00 -4,75 -654,38 469,49
8550,0000 83,62 9,25 0,00 -4,40 -654,61 469,73
8550,0000 83,62 9,25 0,00 -4,03 -654,85 469,99
8552,0000 83,62 9,25 0,00 -3,63 -655,09 470,26
8572,0000 83,70 9,23 0,00 -3,21 -655,35 470,55
8573,0000 83,92 9,71 0,00 -2,77 -655,62 470,85
8588,0000 83,92 9,71 0,00 -2,31 -655,90 471,16
8589,0000 83,92 9,71 0,00 -1,83 -656,18 471,49
8593,0000 83,84 9,49 0,00 -1,33 -656,48 471,82
8679,0000 83,78 9,39 0,00 -0,82 -656,78 472,17
8697,0000 83,69 9,42 0,00 -0,30 -657,09 472,52
8757,0000 83,89 9,50 0,00 0,23 -657,40 472,88
8757,0000 83,89 9,50 0,00 0,77 -657,72 473,25
8757,0000 83,89 9,50 0,00 1,31 -658,05 473,62
8840,0000 83,93 9,49 0,00 1,87 -658,37 473,99
8840,0000 83,93 9,49 0,00 2,42 -658,70 474,37
8879,0000 84,22 9,55 0,00 2,98 -659,03 474,74
8884,0000 84,22 9,55 0,00 3,53 -659,35 475,12
8884,0000 84,22 9,55 0,00 4,09 -659,68 475,50
8907,0000 84,20 9,57 0,00 4,65 -660,00 475,87
8907,0000 84,20 9,57 0,00 5,20 -660,33 476,24
8923,0000 84,20 9,57 0,00 5,75 -660,64 476,61
8923,0000 84,20 9,57 0,00 6,30 -660,96 476,98
8924,0000 84,20 9,57 0,00 6,84 -661,27 477,34
8939,0000 84,04 9,47 0,00 7,38 -661,58 477,70
8939,0000 84,04 9,47 0,00 7,90 -661,88 478,06
8965,0000 84,04 9,39 0,00 8,43 -662,18 478,41
8966,0000 84,04 9,39 0,00 8,94 -662,48 478,75
8967,0000 84,04 9,39 0,00 9,45 -662,76 479,09
8977,0000 84,04 9,39 0,00 9,94 -663,05 479,42
8978,0000 84,04 9,39 0,00 10,43 -663,33 479,75
8997,0000 84,16 9,51 0,00 10,91 -663,60 480,07
8997,0000 84,16 9,51 0,00 11,38 -663,87 480,38
8997,0000 84,16 9,51 0,00 11,84 -664,13 480,69
9003,0000 84,04 9,36 0,00 12,29 -664,39 480,99
9003,0000 84,04 9,36 0,00 12,73 -664,64 481,28
9025,0000 84,04 9,37 0,00 13,16 -664,88 481,56
9025,0000 84,04 9,37 0,00 13,58 -665,12 481,84
9025,0000 84,04 9,37 0,00 13,99 -665,36 482,12
9045,0000 84,04 9,53 0,00 14,39 -665,58 482,38
9055,0000 84,04 9,53 0,00 14,78 -665,81 482,64
9080,0000 84,18 9,48 0,00 15,16 -666,03 482,89
9080,0000 84,18 9,48 0,00 15,53 -666,24 483,14
9080,0000 84,18 9,48 0,00 15,89 -666,44 483,38
9100,0000 84,04 9,35 0,00 16,23 -666,65 483,61
9100,0000 84,04 9,35 0,00 16,57 -666,84 483,83
9123,0000 84,02 9,30 0,00 16,90 -667,03 484,05
9124,0000 84,02 9,30 0,00 17,22 -667,22 484,27
9126,0000 84,02 9,30 0,00 17,53 -667,40 484,47
9140,0000 84,07 9,44 0,00 17,83 -667,58 484,67
9141,0000 84,07 9,44 0,00 18,12 -667,75 484,87
9150,0000 84,01 9,47 0,00 18,41 -667,91 485,06
9150,0000 84,01 9,47 0,00 18,68 -668,08 485,24
9151,0000 84,01 9,47 0,00 18,95 -668,23 485,42
9171,0000 84,06 9,37 0,00 19,20 -668,38 485,59
9182,0000 84,06 9,37 0,00 19,45 -668,53 485,75
9194,0000 84,05 9,26 0,00 19,69 -668,67 485,91
9194,0000 84,05 9,26 0,00 19,92 -668,81 486,07
9214,0000 83,81 9,35 0,00 20,14 -668,95 486,21
9217,0000 83,81 9,35 0,00 20,36 -669,08 486,36
9217,0000 83,81 9,35 0,00 20,57 -669,20 486,50
9228,0000 84,05 9,26 0,00 20,77 -669,32 486,63
9229,0000 84,05 9,26 0,00 20,96 -669,44 486,76
9229,0000 84,05 9,26 0,00 21,15 -669,56 486,89
9252,0000 83,75 9,31 0,00 21,33 -669,67 487,01
9253,0000 83,75 9,31 0,00 21,50 -669,77 487,13
9263,0000 84,08 9,43 0,00 21,67 -669,88 487,24
9264,0000 84,08 9,43 0,00 21,83 -669,98 487,35
9265,0000 84,08 9,43 0,00 21,99 -670,07 487,45
9296,0000 84,04 9,42 0,00 22,14 -670,17 487,55
9296,0000 84,04 9,42 0,00 22,28 -670,26 487,65
9314,0000 84,05 9,43 0,00 22,42 -670,34 487,74
9314,0000 84,05 9,43 0,00 22,55 -670,43 487,83
9315,0000 84,05 9,43 0,00 22,68 -670,51 487,92
9327,0000 83,71 9,30 0,00 22,80 -670,59 488,00
9327,0000 83,71 9,30 0,00 22,92 -670,67 488,08
9338,0000 84,11 9,42 0,00 23,04 -670,74 488,16
9339,0000 84,11 9,42 0,00 23,14 -670,81 488,23
9340,0000 84,11 9,42 0,00 23,25 -670,88 488,30
9352,0000 84,11 9,42 0,00 23,35 -670,95 488,37
9352,0000 84,11 9,42 0,00 23,45 -671,01 488,44
9363,0000 83,98 9,42 0,00 23,54 -671,07 488,50
9365,0000 83,98 9,42 0,00 23,63 -671,13 488,56
9366,0000 83,98 9,42 0,00 23,71 -671,18 488,62
9379,0000 84,04 9,45 0,00 23,79 -671,24 488,67
9380,0000 84,04 9,45 0,00 23,87 -671,29 488,73
9398,0000 83,93 9,15 0,00 23,94 -671,34 488,78
9398,0000 83,93 9,15 0,00 24,02 -671,39 488,83
9398,0000 83,93 9,15 0,00 24,08 -671,43 488,87
9409,0000 83,79 8,99 0,00 24,15 -671,48 488,92
9409,0000 83,79 8,99 0,00 24,21 -671,52 488,96
9423,0000 83,79 8,99 0,00 24,27 -671,56 489,00
9423,0000 83,79 8,99 0,00 24,33 -671,60 489,04
9423,0000 83,79 8,99 0,00 24,38 -671,64 489,08
9449,0000 83,79 9,26 0,00 24,43 -671,67 489,11
9451,0000 83,79 9,26 0,00 24,48 -671,71 489,15
9483,0000 83,77 9,30 0,00 24,53 -671,74 489,18
9483,0000 83,77 9,30 0,00 24,58 -671,77 489,21
9483,0000 83,77 9,30 0,00 24,62 -671,80 489,24
9547,0000 84,06 9,42 0,00 24,66 -671,83 489,27
9547,0000 84,06 9,42 0,00 24,70 -671,86 489,29
9560,0000 83,68 9,32 0,00 24,74 -671,88 489,32
9560,0000 83,68 9,32 0,00 24,77 -671,91 489,34
9560,0000 83,68 9,32 0,00 24,80 -671,93 489,37
9572,0000 83,68 9,32 0,00 24,84 -671,96 489,39
9572,0000 83,68 9,32 0,00 24,87 -671,98 489,41
9589,0000 84,04 9,46 0,00 24,90 -672,01 489,43
9590,0000 84,04 9,46 0,00 24,92 -672,03 489,45
9590,0000 84,04 9,46 0,00 24,95 -672,05 489,47
9606,0000 83,76 9,28 0,00 24,97 -672,07 489,49
9606,0000 83,76 9,28 0,00 25,00 -672,10 489,51
9628,0000 83,74 9,29 0,00 25,02 -672,12 489,53
9628,0000 83,74 9,29 0,00 25,04 -672,13 489,54
9628,0000 83,74 9,29 0,00 25,06 -672,15 489,56
9641,0000 83,85 9,44 0,00 25,08 -672,17 489,57
9641,0000 83,85 9,44 0,00 25,10 -672,19 489,59
9657,0000 84,04 9,34 0,00 25,12 -672,20 489,60
9658,0000 84,04 9,34 0,00 25,14 -672,22 489,61
9658,0000 84,04 9,34 0,00 25,16 -672,23 489,63
9668,0000 84,04 9,49 0,00 25,17 -672,24 489,64
9669,0000 84,04 9,49 0,00 25,19 -672,26 489,65
9686,0000 84,04 9,49 0,00 25,20 -672,27 489,66
9686,0000 84,04 9,49 0,00 25,21 -672,28 489,67
9686,0000 84,04 9,49 0,00 25,23 -672,29 489,68
9697,0000 84,12 9,41 0,00 25,24 -672,30 489,69
9697,0000 84,12 9,41 0,00 25,25 -672,31 489,70
9714,0000 84,12 9,37 0,00 25,26 -672,32 489,70
9714,0000 84,12 9,37 0,00 25,27 -672,33 489,71
9714,0000 84,12 9,37 0,00 25,28 -672,34 489,72
9763,0000 83,85 9,32 0,00 25,29 -672,34 489,73
9763,0000 83,85 9,32 0,00 25,30 -672,35 489,73
9803,0000 83,97 9,38 0,00 25,31 -672,36 489,74
9803,0000 83,97 9,38 0,00 25,32 -672,36 489,75
9804,0000 83,97 9,38 0,00 25,33 -672,37 489,75
9824,0000 83,83 9,24 0,00 25,33 -672,37 489,76
9826,0000 83,83 9,24 0,00 25,34 -672,38 489,76
9836,0000 83,84 9,42 0,00 25,35 -672,38 489,77
9837,0000 83,84 9,42 0,00 25,35 -672,39 489,77
9838,0000 83,84 9,42 0,00 25,36 -672,39 489,77
9850,0000 83,84 9,42 0,00 25,36 -672,39 489,77
9850,0000 83,84 9,42 0,00 25,37 -672,39 489,78
9861,0000 83,79 9,26 0,00 25,37 -672,39 489,78
9861,0000 83,79 9,26 0,00 25,37 -672,40 489,78
9862,0000 83,79 9,26 0,00 25,38 -672,40 489,78
9889,0000 84,04 9,49 0,00 25,38 -672,40 489,79
9889,0000 84,04 9,49 0,00 25,38 -672,40 489,79
9907,0000 83,72 9,28 0,00 25,38 -672,40 489,79
9907,0000 83,72 9,28 0,00 25,39 -672,41 489,79
9907,0000 83,72 9,28 0,00 25,39 -672,41 489,79
9922,0000 84,05 9,29 0,00 25,39 -672,41 489,79
9922,0000 84,05 9,29 0,00 25,39 -672,41 489,80
9931,0000 83,83 9,33 0,00 25,40 -672,41 489,80
9931,0000 83,83 9,33 0,00 25,40 -672,41 489,80
9931,0000 83,83 9,33 0,00 25,40 -672,42 489,80
9948,0000 84,04 9,52 0,00 25,40 -672,42 489,80
9950,0000 84,04 9,52 0,00 25,40 -672,42 489,80
9994,0000 83,70 9,24 0,00 25,41 -672,42 489,81
9994,0000 83,70 9,24 0,00 25,41 -672,42 489,81
9994,0000 83,70 9,24 0,00 25,41 -672,42 489,81
10002,0000 83,70 9,24 0,00 25,41 -672,42 489,81
10002,0000 83,70 9,24 0,00 25,41 -672,43 489,81
10018,0000 84,04 9,35 0,00 25,41 -672,43 489,81
10018,0000 84,04 9,35 0,00 25,42 -672,43 489,81
10019,0000 84,04 9,35 0,00 25,42 -672,43 489,81
10037,0000 84,05 9,31 0,00 25,42 -672,43 489,81
10037,0000 84,05 9,31 0,00 25,42 -672,43 489,82
10047,0000 83,82 9,23 0,00 25,42 -672,43 489,82
10048,0000 83,82 9,23 0,00 25,42 -672,43 489,82
10049,0000 83,82 9,23 0,00 25,42 -672,43 489,82
10060,0000 84,04 9,38 0,00 25,42 -672,43 489,82
10062,0000 84,04 9,38 0,00 25,42 -672,43 489,82
10077,0000 84,04 9,38 0,00 25,42 -672,43 489,82
10077,0000 84,04 9,38 0,00 25,42 -672,43 489,82
10077,0000 84,04 9,38 0,00 25,42 -672,43 489,82
10100,0000 83,80 9,24 0,00 25,42 -672,43 489,82
10100,0000 83,80 9,24 0,00 25,42 -672,43 489,82
10110,0000 83,80 9,24 0,00 25,42 -672,44 489,82
10110,0000 83,80 9,24 0,00 25,42 -672,44 489,82
10110,0000 83,80 9,24 0,00 25,42 -672,44 489,82
10138,0000 83,86 9,41 0,00 25,42 -672,44 489,82
10138,0000 83,86 9,41 0,00 25,42 -672,44 489,82
10194,0000 83,90 9,45 0,00 25,42 -672,44 489,82
10194,0000 83,90 9,45 0,00 25,42 -672,44 489,82
10194,0000 83,90 9,45 0,00 25,42 -672,44 489,82
10210,0000 83,64 9,18 0,00 25,41 -672,44 489,82
10210,0000 83,64 9,18 0,00 25,41 -672,44 489,82
10248,0000 83,79 9,32 0,00 25,41 -672,44 489,82
10248,0000 83,79 9,32 0,00 25,41 -672,44 489,82
10248,0000 83,79 9,32 0,00 25,41 -672,44 489,82
10257,0000 83,88 9,28 0,00 25,41 -672,44 489,82
10257,0000 83,88 9,28 0,00 25,41 -672,44 489,82
10274,0000 83,76 9,28 0,00 25,41 -672,44 489,82
10276,0000 83,76 9,28 0,00 25,41 -672,44 489,82
10276,0000 83,76 9,28 0,00 25,41 -672,44 489,82
10288,0000 83,77 9,23 0,00 25,41 -672,44 489,82
10288,0000 83,77 9,23 0,00 25,41 -672,44 489,82
10305,0000 83,76 9,27 0,00 25,41 -672,45 489,82
10311,0000 83,76 9,27 0,00 25,41 -672,45 489,82
10311,0000 83,76 9,27 0,00 25,41 -672,45 489,82
10320,0000 84,04 9,45 0,00 25,41 -672,45 489,82
10320,0000 84,04 9,45 0,00 25,41 -672,45 489,82
10337,0000 83,80 8,99 0,00 25,41 -672,45 489,82
10338,0000 83,80 8,99 0,00 25,41 -672,45 489,82
10338,0000 83,80 8,99 0,00 25,41 -672,45 489,82
10349,0000 83,80 8,99 0,00 25,41 -672,46 489,82
10349,0000 83,80 8,99 0,00 25,41 -672,46 489,82
10450,0000 83,81 9,27 0,00 25,42 -672,46 489,82
10450,0000 83,81 9,27 0,00 25,42 -672,46 489,83
10450,0000 83,81 9,27 0,00 25,42 -672,46 489,83
10464,0000 83,95 9,32 0,00 25,42 -672,47 489,83
10464,0000 83,95 9,32 0,00 25,42 -672,47 489,83
10477,0000 83,85 9,20 0,00 25,42 -672,47 489,83
10477,0000 83,85 9,20 0,00 25,42 -672,47 489,83
10477,0000 83,85 9,20 0,00 25,42 -672,47 489,83
10494,0000 83,78 9,33 0,00 25,42 -672,48 489,83
10502,0000 83,78 9,33 0,00 25,42 -672,48 489,83
10513,0000 83,83 9,30 0,00 25,42 -672,48 489,83
10513,0000 83,83 9,30 0,00 25,42 -672,48 489,83
10513,0000 83,83 9,30 0,00 25,42 -672,49 489,84
10538,0000 83,85 9,32 0,00 25,42 -672,49 489,84
10538,0000 83,85 9,32 0,00 25,42 -672,49 489,84
10565,0000 84,10 9,48 0,00 25,42 -672,49 489,84
10565,0000 84,10 9,48 0,00 25,42 -672,50 489,84
10565,0000 84,10 9,48 0,00 25,42 -672,50 489,84
10589,0000 84,17 9,57 0,00 25,42 -672,50 489,84
10589,0000 84,17 9,57 0,00 25,42 -672,50 489,84
10617,0000 83,94 9,55 0,00 25,42 -672,51 489,84
10618,0000 83,94 9,55 0,00 25,42 -672,51 489,84
10619,0000 83,94 9,55 0,00 25,42 -672,51 489,84
10632,0000 83,94 9,55 0,00 25,42 -672,51 489,84
10632,0000 83,94 9,55 0,00 25,42 -672,51 489,84
10645,0000 83,85 9,30 0,00 25,42 -672,51 489,84
10646,0000 83,85 9,30 0,00 25,42 -672,52 489,84
10649,0000 83,85 9,30 0,00 25,42 -672,52 489,84
10660,0000 83,72 9,28 0,00 25,42 -672,52 489,84
10661,0000 83,72 9,28 0,00 25,42 -672,52 489,84
10674,0000 83,77 9,31 0,00 25,42 -672,52 489,84
10674,0000 83,77 9,31 0,00 25,42 -672,52 489,84
10674,0000 83,77 9,31 0,00 25,42 -672,52 489,84
