0,0000 0,00 0,00 0,00 0,00 0,00 0,00
3998,0000 77,85 -1,23 0,00 29,37 -685,98 495,73
3998,0000 77,85 -1,23 0,00 29,16 -685,89 495,60
4026,0000 77,80 -1,25 0,00 28,96 -685,80 495,48
4026,0000 77,83 -1,19 0,00 28,77 -685,72 495,36
4092,0000 77,73 -1,25 0,00 28,59 -685,64 495,24
4093,0000 77,73 -1,25 0,00 28,41 -685,56 495,13
4093,0000 77,73 -1,25 0,00 28,24 -685,49 495,03
4106,0000 77,78 -1,24 0,00 28,07 -685,42 494,92
4106,0000 77,78 -1,24 0,00 27,91 -685,35 494,83
4124,0000 77,78 -1,25 0,00 27,76 -685,29 494,74
4124,0000 77,78 -1,25 0,00 27,62 -685,23 494,65
4125,0000 77,78 -1,25 0,00 27,48 -685,17 494,56
4268,0000 77,67 -1,25 0,00 27,35 -685,12 494,48
4270,0000 77,67 -1,25 0,00 27,22 -685,07 494,40
4322,0000 77,74 -1,38 0,00 27,10 -685,02 494,33
4346,0000 77,62 -1,33 0,00 26,98 -684,97 494,25
4389,0000 77,74 -1,42 0,00 26,87 -684,93 494,18
4415,0000 77,80 -1,16 0,00 26,76 -684,89 494,12
4415,0000 77,80 -1,16 0,00 26,66 -684,85 494,06
4436,0000 77,72 -1,26 0,00 26,56 -684,81 494,00
4436,0000 77,72 -1,26 0,00 26,46 -684,77 493,94
4437,0000 77,72 -1,26 0,00 26,37 -684,74 493,88
4463,0000 77,78 -1,24 0,00 26,29 -684,71 493,83
4463,0000 77,78 -1,24 0,00 26,21 -684,68 493,78
4473,0000 77,74 -1,19 0,00 26,13 -684,65 493,73
4474,0000 77,74 -1,19 0,00 26,05 -684,62 493,69
4475,0000 77,74 -1,19 0,00 25,98 -684,60 493,64
4485,0000 77,74 -1,19 0,00 25,91 -684,57 493,60
4486,0000 77,74 -1,19 0,00 25,85 -684,55 493,56
4500,0000 77,51 -1,31 0,00 25,79 -684,53 493,53
4501,0000 77,51 -1,31 0,00 25,73 -684,51 493,49
4501,0000 77,51 -1,31 0,00 25,67 -684,49 493,46
4511,0000 77,75 -1,29 0,00 25,62 -684,48 493,43
4511,0000 77,75 -1,29 0,00 25,57 -684,46 493,39
4523,0000 77,75 -1,29 0,00 25,52 -684,45 493,37
4523,0000 77,75 -1,29 0,00 25,47 -684,43 493,34
4523,0000 77,75 -1,29 0,00 25,43 -684,42 493,31
4539,0000 77,74 -1,34 0,00 25,39 -684,41 493,29
4540,0000 77,74 -1,34 0,00 25,35 -684,39 493,26
4552,0000 77,76 -1,28 0,00 25,31 -684,38 493,24
4553,0000 77,76 -1,28 0,00 25,27 -684,37 493,22
4554,0000 77,76 -1,28 0,00 25,24 -684,36 493,20
4565,0000 77,81 -1,16 0,00 25,21 -684,35 493,18
4566,0000 77,81 -1,16 0,00 25,18 -684,35 493,16
4580,0000 77,81 -1,16 0,00 25,15 -684,34 493,14
4580,0000 77,81 -1,16 0,00 25,12 -684,33 493,13
4581,0000 77,81 -1,16 0,00 25,10 -684,32 493,11
4597,0000 77,56 -1,39 0,00 25,07 -684,32 493,10
4597,0000 77,56 -1,39 0,00 25,05 -684,31 493,09
4636,0000 77,73 -1,24 0,00 25,03 -684,31 493,07
4636,0000 77,73 -1,24 0,00 25,01 -684,30 493,06
4636,0000 77,73 -1,24 0,00 24,99 -684,30 493,05
4647,0000 77,74 -1,43 0,00 24,97 -684,30 493,04
4651,0000 77,74 -1,43 0,00 24,95 -684,29 493,03
4665,0000 77,74 -1,39 0,00 24,93 -684,29 493,02
4665,0000 77,74 -1,39 0,00 24,92 -684,29 493,01
4665,0000 77,74 -1,39 0,00 24,90 -684,28 493,00
4677,0000 77,82 -1,20 0,00 24,89 -684,28 492,99
4678,0000 77,82 -1,20 0,00 24,88 -684,28 492,99
4688,0000 77,82 -1,20 0,00 24,87 -684,28 492,98
4689,0000 77,82 -1,20 0,00 24,85 -684,28 492,97
4690,0000 77,82 -1,20 0,00 24,84 -684,27 492,97
4710,0000 77,74 -1,33 0,00 24,83 -684,27 492,96
4711,0000 77,74 -1,33 0,00 24,82 -684,27 492,95
4723,0000 77,74 -1,27 0,00 24,81 -684,27 492,95
4723,0000 77,74 -1,27 0,00 24,81 -684,27 492,94
4724,0000 77,74 -1,27 0,00 24,80 -684,27 492,94
4754,0000 77,70 -1,27 0,00 24,79 -684,27 492,94
4754,0000 77,70 -1,27 0,00 24,78 -684,27 492,93
4771,0000 77,59 -1,31 0,00 24,78 -684,27 492,93
4771,0000 77,59 -1,31 0,00 24,77 -684,27 492,93
4771,0000 77,59 -1,31 0,00 24,76 -684,27 492,92
4796,0000 77,64 -1,34 0,00 24,76 -684,28 492,92
4796,0000 77,64 -1,34 0,00 24,75 -684,28 492,92
4815,0000 77,51 -1,32 0,00 24,75 -684,28 492,91
4815,0000 77,51 -1,32 0,00 24,74 -684,28 492,91
4816,0000 77,51 -1,32 0,00 24,74 -684,28 492,91
4831,0000 77,74 -1,25 0,00 24,73 -684,28 492,91
