Time	RobotX	RobotY	RobotZ	DiscX	DiscY	DiscZ
2006.	531.6	NaN	NaN	-184.9	-465.2	1153.	1.000	
2007.	83.64	-716.9	531.6	86.89	-707.8	530.8	1.000	
2007.	83.63	-716.9	531.6	86.89	-707.8	530.8	1.000	
2007.	83.64	-716.9	531.6	86.89	-707.8	530.8	1.000	
2008.	83.64	-716.9	531.7	86.89	-707.8	530.8	1.000	
2008.	83.64	-716.9	531.7	86.89	-707.8	530.8	1.000	
2008.	83.64	-716.9	531.7	86.89	-707.8	530.8	1.000	
2008.	83.64	-716.9	531.7	86.89	-707.8	530.8	1.000	
2008.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2008.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2008.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2009.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2009.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2009.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2009.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2009.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2009.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2009.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2009.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2009.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2009.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2010.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2010.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2010.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2010.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2010.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2011.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2011.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2014.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2018.	83.65	-716.9	531.7	86.89	-707.8	530.8	1.000	
2023.	83.65	-716.9	531.7	86.79	-707.8	530.7	1.000	
2026.	83.66	-716.9	531.7	86.79	-707.8	530.7	1.000	
2030.	83.66	-716.9	531.7	86.79	-707.8	530.7	1.000	
2034.	83.66	-716.9	531.7	86.79	-707.8	530.7	1.000	
2038.	83.68	-716.9	531.8	86.79	-707.8	530.7	1.000	
2042.	83.68	-716.9	531.8	86.79	-707.8	530.7	1.000	
2046.	83.69	-716.8	531.8	87.15	-707.8	530.9	1.000	
2050.	83.70	-716.8	531.8	87.15	-707.8	530.9	1.000	
2054.	83.71	-716.8	531.8	87.15	-707.8	530.9	1.000	
2059.	83.72	-716.7	531.8	87.15	-707.8	530.9	1.000	
2062.	83.74	-716.6	531.8	87.15	-707.8	530.9	1.000	
2066.	83.77	-716.6	531.8	87.15	-707.8	530.9	1.000	
2070.	83.81	-716.5	531.8	86.79	-707.7	530.7	1.000	
2075.	83.85	-716.4	531.8	86.79	-707.7	530.7	1.000	
2079.	83.90	-716.3	531.7	86.79	-707.7	530.7	1.000	
2082.	83.95	-716.1	531.7	86.79	-707.7	530.7	1.000	
