Time	RobotX	RobotY	RobotZ	DiscX	DiscY	DiscZ
2127.00 	85.4200 	-711.360 	531.050 	87.0290 	-707.067 	530.622 	
2131.00 	85.4700 	-711.230 	531.040 	87.0290 	-707.067 	530.622 	
2135.00 	85.5100 	-711.110 	531.020 	87.0290 	-707.067 	530.622 	
2138.00 	85.5400 	-710.990 	531.010 	87.0290 	-707.067 	530.622 	
2143.00 	85.5800 	-710.870 	531.000 	86.6940 	-707.717 	530.642 	
2147.00 	85.6100 	-710.760 	530.980 	86.6940 	-707.717 	530.642 	
2151.00 	85.6400 	-710.650 	530.970 	86.6940 	-707.717 	530.642 	
2155.00 	85.6700 	-710.540 	530.960 	86.6940 	-707.717 	530.642 	
2159.00 	85.7000 	-710.440 	530.950 	86.6940 	-707.717 	530.642 	
2163.00 	85.7300 	-710.330 	530.940 	86.6940 	-707.717 	530.642 	
2167.00 	85.7600 	-710.230 	530.920 	86.5015 	-708.033 	530.637 	
2171.00 	85.7900 	-710.140 	530.910 	86.5015 	-708.033 	530.637 	
2175.00 	85.8200 	-710.040 	530.900 	86.5015 	-708.033 	530.637 	
2179.00 	85.8500 	-709.950 	530.880 	86.5015 	-708.033 	530.637 	
2183.00 	85.8700 	-709.860 	530.870 	86.5015 	-708.033 	530.637 	
2187.00 	85.9000 	-709.770 	530.860 	86.8365 	-708.076 	530.817 	
2192.00 	85.9300 	-709.680 	530.850 	86.8365 	-708.076 	530.817 	
2195.00 	85.9600 	-709.600 	530.840 	86.8365 	-708.076 	530.817 	
2199.00 	85.9800 	-709.520 	530.840 	86.8365 	-708.076 	530.817 	
2203.00 	86.0100 	-709.450 	530.830 	86.8365 	-708.076 	530.817 	
2207.00 	86.0300 	-709.380 	530.820 	86.8365 	-708.076 	530.817 	
2211.00 	86.0500 	-709.310 	530.810 	86.7165 	-707.660 	530.637 	
2215.00 	86.0700 	-709.250 	530.800 	86.7165 	-707.660 	530.637 	
2219.00 	86.0900 	-709.180 	530.790 	86.7165 	-707.660 	530.637 	
2223.00 	86.1100 	-709.120 	530.780 	86.7165 	-707.660 	530.637 	
2227.00 	86.1300 	-709.070 	530.780 	86.7165 	-707.660 	530.637 	
2231.00 	86.1400 	-709.020 	530.770 	86.7165 	-707.660 	530.637 	
2235.00 	86.1600 	-708.970 	530.760 	86.6415 	-707.582 	530.577 	
2239.00 	86.1800 	-708.920 	530.760 	86.6415 	-707.582 	530.577 	
2243.00 	86.1900 	-708.880 	530.760 	86.6415 	-707.582 	530.577 	
2247.00 	86.2100 	-708.840 	530.750 	86.6415 	-707.582 	530.577 	
2252.00 	86.2300 	-708.800 	530.750 	86.6415 	-707.582 	530.577 	
2256.00 	86.2500 	-708.760 	530.750 	86.6415 	-707.582 	530.577 	
2259.00 	86.2600 	-708.720 	530.750 	86.6765 	-707.556 	530.587 	
2263.00 	86.2800 	-708.680 	530.750 	86.6765 	-707.556 	530.587 	
2267.00 	86.3000 	-708.650 	530.750 	86.6765 	-707.556 	530.587 	
2271.00 	86.3100 	-708.610 	530.750 	86.6765 	-707.556 	530.587 	
2276.00 	86.3300 	-708.580 	530.750 	86.6765 	-707.556 	530.587 	
2280.00 	86.3500 	-708.540 	530.740 	86.6765 	-707.556 	530.587 	
2284.00 	86.3600 	-708.510 	530.740 	87.0090 	-707.933 	530.862 	
2288.00 	86.3700 	-708.480 	530.730 	87.0090 	-707.933 	530.862 	
